baltic;Baltic;Balte;Baltisch;;El Báltico;;;;;;;;;
baluchi;Baluchi;Baloutche;Baluchisch;;Beluchi;;;;;;;;;
bambara;Bambara;Bambara;Bambarisch;;Bambara;;;;;;;;;
basque;Basque;Basque;Baskisch;;Vasca;;;;;;;;;
bedouin;Bedouin;Bédouin;Beduinisch;;Beduína;;;;;;;;;
beifaren;Beifaren;Beifaren;Beifarenisch;;Beifaren;;;;;;;;;
beja;Beja;Bedja;Bejaisch;;Beja;;;;;;;;;
beneluxian;Low Countries;Néerlandais;Niederländisch;;Países Bajos;;;;;;;;;
bengali;Bengali;Bengali;Bengalisch;;Bengalí;;;;;;;;;
berber;Berber;Berbère;Berbisch;;Bérber;;;;;;;;;
bihari;Bihari;Bihari;Biharisch;;Bihari;;;;;;;;;
boer;Boer;Boer;Burisch;;Bóer;;;;;;;;;
bosniak;Bosniak;Bosniaque;Bosnisch;;Bosnia;;;;;;;;;
brazilian;Brazilian;Brésilien;Brasilianisch;;Brasileña;;;;;;;;;
breton;Breton;;;;;;;;;;;;;
british;British;Britannique;Britisch;;Británica;;;;;;;;;
bulgarian;Bulgarian;Bulgare;Bulgarisch;;Búlgara;;;;;;;;;
burmese;Burmese;Birman;Burmesisch;;Birmana;;;;;;;;;
byelorussian;Byelorussian;Biélorusse;Weißrussisch;;Bielorrusa;;;;;;;;;
caribeno;Caribeno;Cariban;Karibisch;;Caribeña;;;;;;;;;
catalan;Catalan;Catalan;Katalanisch;;Catalana;;;;;;;;;
central_african;Central African;Centre-africain;Zentralafrikanisch;;Centroafricana;;;;;;;;;
central_american;Central American;Centre-américain;Mittelamerikanisch;;Centroamericana;;;;;;;;;
central_asian;Central Asian;Centre-asiatique;Zentralasiatisch;;Centroasiática;;;;;;;;;
cherokee;Cherokee;Cherokee;Cherokeenisch;;Cherokee;;;;;;;;;
chewa;Chewa;Chichewa;Chewasesich;;Chewa;;;;;;;;;
cree;Cree;Cri;Creeisch;;Cree;;;;;;;;;
croat;Croatian;Croate;Kroatisch;;Croata;;;;;;;;;
czech;Czech;Tchèque;Tschechisch;;Checa;;;;;;;;;
czecho_slovak_culture_group;Czecho-Slovak;Tchécoslovaque;Tschechoslowakisch;;Checoslovaca;;;;;;;;;
dakota;Dakota;Dakota;Dakotanisch;;Dakota;;;;;;;;;
danish;Danish;Danois;Dänisch;;Danesa;;;;;;;;;
dinka;Dinka;Dinka;Dinkisch;;Dinka;;;;;;;;;
dixie;Dixie;Dixie;Dixie-Amerikanisch;;Dixie;;;;;;;;;
dutch;Dutch;Néerlandais;Niederländisch;;Holandesa;;;;;;;;;
dyula;Dyula;Dioula;Dyulaisch;;Dyula;;;;;;;;;
east_african;East African;Africain oriental;Ostafrikanisch;;Africana oriental;;;;;;;;;
east_asian;East Asian;Est-asiatique;Ostasiatisch;;Asiática oriental;;;;;;;;;
east_slavic;East Slavic;Slave de l'est;Ostslawisch;;Eslava del este;;;;;;;;;
edo;Edo;Edo;Edoisch;;Edo;;;;;;;;;
english;English;;;;;;;;;;;;;
estonian;Estonian;Estonien;Estnisch;;Estonia;;;;;;;;;
ewe;Ewe;Ewe;Ewenisch;;Ewe;;;;;;;;;
fang;Fang;Fang;Fangisch;;Fang;;;;;;;;;
filipino;Filipino;Philippin;Philippinisch;;Filipina;;;;;;;;;
finnish;Finnish;Finlandais;Finnisch;;Finlandesa;;;;;;;;;
flemish;Flemish;Flamand;Flämisch;;Flamenca;;;;;;;;;
fon;Fon;Fon;Fonisch;;Fon;;;;;;;;;
french;French;Français;Französisch;;Francesa;;;;;;;;;
french_canadian;French Canadian;Franco-canadien;Frankokanadisch;;Franco-canadiense;;;;;;;;;
fulbe;Fulbe;Fulbe;Fulbenisch;;Fulbé;;;;;;;;;
fur;Fur;Fur;Furisch;;Fur;;;;;;;;;
georgian;Georgian;Géorgien;Georgisch;;Georgiana;;;;;;;;;
germanic;Germanic;Germanique;Germanisch;;Alemana;;;;;;;;;
greek;Greek;Grec;Griechisch;;Griega;;;;;;;;;
guajiro;Guajiro;Guajiro;Guajiroisch;;Guajira;;;;;;;;;
guarani;Guarani;Guarani;Guaranisch;;Guaraní;;;;;;;;;
gujarati;Gujarati;Gujrati;Gujaratisch;;Gujarati;;;;;;;;;
hakka;Hakka;Hakka;Hakkanisch;;Hakka;;;;;;;;;
hausa;Hausa;Haoussa;Hausaisch;;Hausa;;;;;;;;;
hawaiian;Hawaiian;Hawaïen;Hawaiianisch;;Hawaiana;;;;;;;;;
hazara;Hazara;Hazaréen;Hazarisch;;Hazara;;;;;;;;;
herero;Herero;Héréro;Hererotisch;;Herero;;;;;;;;;
hungarian;Hungarian;Hongrois;Ungarisch;;Húngara;;;;;;;;;
hungarian_culture_group;Hungarian;Hongrois;Ungarisch;;Húngara;;;;;;;;;
iberian;Iberian;Ibérique;Iberisch;;Ibérica;;;;;;;;;
ibibio;Ibibio;Ibibio;Ibibiotisch;;Ibibio;;;;;;;;;
ibo;Ibo;Ibo;Ibotisch;;Ibo;;;;;;;;;
icelandic;Icelandic;Islandais;Isländisch;;Islandesa;;;;;;;;;
inuit;Inuit;Inuit;Inuitisch;;Inuit;;;;;;;;;
iranian_turanian;Iranian Turanian;Irano-turanien;Irano-Turanisch;;Irano-turaniana;;;;;;;;;
irish;Irish;Irlandais;Irisch;;Irlandesa;;;;;;;;;
italian;Italian;Italien;Italienisch;;Italiana;;;;;;;;;
japanese;Japanese;Japonais;Japanisch;;Japonesa;;;;;;;;;
javan;Javan;Javanais;Javanisch;;Javanesa;;;;;;;;;
kachin;Kachin;Kachin;Kachinisch;;Kachin;;;;;;;;;
kanauji;Kanauji;Kanauji;Kanaujisch;;Kanauji;;;;;;;;;
kannada;Kannada;Kannara;Kannakisch;;Canara;;;;;;;;;
kanuri;Kanuri;Kanuri;Kanurisch;;Kanuri;;;;;;;;;
karen;Karen;Karen;Karenisch;;Karen;;;;;;;;;
kashmiri;Kashmiri;Kashmiri;Kaschmirisch;;Kashmirí;;;;;;;;;
kazak;Kazakh;Kazak;Kasachisch;;Kazaca;;;;;;;;;
khmer;Khmer;Khmer;Khmerisch;;Jemer;;;;;;;;;
khoisan;Khoisan;Khoïsan;Khoisanisch;;Khoisán;;;;;;;;;
kikuyu;Kikuyu;Kikuyu;Kikuyuisch;;Kikuyu;;;;;;;;;
kirgiz;Kyrgyz;Kirghize;Kirgisisch;;Kirguiza;;;;;;;;;
korean;Korean;Coréen;Koreanisch;;Coreana;;;;;;;;;
kru;Kru;Kru;Kruisch;;Kru;;;;;;;;;
kurdish;Kurdish;Kurde;Kurdisch;;Curda;;;;;;;;;
lao;Lao;Lao;Laotisch;;Lao;;;;;;;;;
latin_american_cultures;Latin American Cultures;Cultures latino-américaines;Lateinamerikanisch;;Culturas latinoamericanas;;;;;;;;;
latvian;Latvian;Letton;Lettisch;;Letona;;;;;;;;;
levantine;Levantine;Levantin;Levantinisch;;Levantina;;;;;;;;;
lithuanian;Lithuanian;Lituanien;Litauisch;;Lituana;;;;;;;;;
lomwe;Lomwe;Lomué;Lomwenisch;;Lomwe;;;;;;;;;
luba;Luba;Luba;Lubaisch;;Luba;;;;;;;;;
lunda;Lunda;Lunda;Lundaisch;;Lunda;;;;;;;;;
luo;Luo;Luo;Luotisch;;Luo;;;;;;;;;
maasai;Maasai;Maasaï;Massaisch;;Maasai;;;;;;;;;
macedonian;Macedonian;;;;;;;;;;;;;
maghrebi;Maghrebi;Maghrébin;Maghrebinisch;;Magrebí;;;;;;;;;
makua;Makua;Macua;Makuanisch;;Makua;;;;;;;;;
malagasy;Malagasy;Malgache;Malagasisch;;Malagasy;;;;;;;;;
malay;Malay;Malais;Malaiisch;;Malaya;;;;;;;;;
malayalam;Malayalam;Malayalam;Malayalamisch;;Malayalam;;;;;;;;;
maltese;Maltese;Maltais;Maltesisch;;Maltesa;;;;;;;;;
manchu;Manchu;Mandchou;Mandschurisch;;Manchú;;;;;;;;;
mande;Mande;Mandé;Mandelisch;;Mandé;;;;;;;;;
manipuri;Manipuri;Meitei;Manipurisch;;Manipurí;;;;;;;;;
maori;Maori;Maori;Maorisch;;Maorí;;;;;;;;;
marathi;Marathi;Marathi;Marathisch;;Marathi;;;;;;;;;
mashriqi;Mashriqi;Machrékien;Mashriqisch;;Mashriqí;;;;;;;;;
maures;Maures;Maure;Maurisch;;Maure;;;;;;;;;
mayan;Mayan;Maya;Mayaisch;;Maya;;;;;;;;;
melanesian;Melanesian;Mélanésien;Melanesisch;;Melanesiana;;;;;;;;;
metis;Metis;Métis;Metisisch;;India mestiza;;;;;;;;;
mexican;Mexican;Mexicain;Mexikanisch;;Mexicana;;;;;;;;;
miao;Miao;Miao;Miaotisch;;Miao;;;;;;;;;
micronesian;Micronesian;Micronésien;Micronesisch;;Micronesiana;;;;;;;;;
min;Min;Min;Minisch;;Min;;;;;;;;;
misri;Misri;Misri;Misrinisch;;Misrí;;;;;;;;;
moluccan;Moluccan;Moluquais;Molukkisch;;Moluquesa;;;;;;;;;
mongo;Mongo;Mongo;Mongoisch;;Mongo;;;;;;;;;
mongol;Mongol;Mongol;Mongolisch;;Mongol;;;;;;;;;
mossi;Mossi;Mossi;Mossisch;;Mossi;;;;;;;;;
nahua;Nahua;Nahua;Nahuasch;;Nahua;;;;;;;;;
nanfaren;Nanfaren;Nanfaren;Nanfarenisch;;Nanfaren;;;;;;;;;
native_american;Native American;Amérindien;Uramerikanisch;;Nativo-americana;;;;;;;;;
native_american_minor;Native American Minor;Petites tribus amérindiennes;Uramerikanisch;;Nativo-americana menor;;;;;;;;;
navajo;Navajo;Navajo;Navajonisch;;Navajo;;;;;;;;;
neo_european_cultures;Neo European Cultures;Cultures néo-européennes;Neoeuropäisch;;Culturas neoeuropeas;;;;;;;;;
nepali;Nepali;Népalais;Nepalesisch;;Nepalí;;;;;;;;;
nguni;Nguni;Nguni;Ngunisch;;Nguni;;;;;;;;;
north_andean;North Andean;Nord-Andin;Nordandisch;;Norandina;;;;;;;;;
north_caucasian;North Caucasian;Nord-caucasien;Nordkaukasisch;;Caucasiana del norte;;;;;;;;;
north_german;North German;Allemand du nord;Norddeutsch;;Alemana del norte;;;;;;;;;
north_italian;North Italian;Italien du nord;Norditalienisch;;Italiana del norte;;;;;;;;;
norwegian;Norwegian;Norvégien;Norwegisch;;Noruega;;;;;;;;;
nuba;Nuba;Nuba;Nubaisch;;Nuba;;;;;;;;;
nuer;Nuer;Nuer;Nuerisch;;Nuer;;;;;;;;;
oceanic;Oceanic;Océanique;Ozeanisch;;Oceánica;;;;;;;;;
oriya;Oriya;Oriya;Oriyanisch;;Oriya;;;;;;;;;
oromo;Oromo;Oromo;Oromotisch;;Oromo;;;;;;;;;
ovimbundu;Ovimbundu;Ovimbundu;Ovimbundisch;;Ovimbundu;;;;;;;;;
panjabi;Panjabi;Penjabi;Pundschabisch;;Panjabí;;;;;;;;;
pan_romanian;Romanian;Roumain;Rumänisch;;de Rumanía;;;;;;;;;
pan_swiss;Swiss;Suisse;Schweizerisch;;Suiza;;;;;;;;;
pashtun;Pashtun;Pachtoune;Paschtunisch;;Pashtuna;;;;;;;;;
patagonian;Patagonian;Patagonien;Patagonisch;;Patagónica;;;;;;;;;
persian;Persian;Perse;Persisch;;Persa;;;;;;;;;
platinean;Platinean;Platinien;Platineisch;;Platense;;;;;;;;;
polish;Polish;Polonais;Polnisch;;Polaca;;;;;;;;;
polish_culture_group;Polish;Polonais;Polnisch;;Polaca;;;;;;;;;
polynesian;Polynesian;Polynésien;Polynesisch;;Polinesia;;;;;;;;;
portuguese;Portuguese;Portugais;Portugiesisch;;Portugesa;;;;;;;;;
pueblo;Pueblo;Pueblo;Pueblotisch;;Pueblo;;;;;;;;;
quechua;Quechua;Quechua;Quechuanisch;;Quechua;;;;;;;;;
rajput;Rajput;Rajput;Rajputisch;;Rajputa;;;;;;;;;
romanian;Romanian;Roumain;Rumänisch;;Rumana;;;;;;;;;
ruanda;Ruanda;Rwandais;Ruandanisch;;Ruandesa;;;;;;;;;
rundi;Rundi;Rundi;Rundisch;;Rundi;;;;;;;;;
russian;Russian;Russe;Russisch;;Rusa;;;;;;;;;
sami;Sami;Sami;Sami;;Sami;;;;;;;;;
sara;Sara;Sara;Saraisch;;Sara;;;;;;;;;
scandinavian;Scandinavian;Scandinave;Skandinawisch;;Escandinava;;;;;;;;;
scottish;Scottish;;;;;;;;;;;;;
sena;Sena;Sena;Senaisch;;Sena;;;;;;;;;
senufo;Senufo;Sénoufo;Senufotisch;;Senufo;;;;;;;;;
sephardic;Sephardim;Séfarade;Sephardisch;;Sefardí;;;;;;;;;
serb;Serbian;Serbe;Serbisch;;Serbia;;;;;;;;;
shan;Shan;Shan;Shanisch;;Shan;;;;;;;;;
shona;Shona;Shona;Shonaisch;;Shona;;;;;;;;;
siberian;Siberian;Sibérien;Sibirisch;;Siberiana;;;;;;;;;
sidama;Sidama;Sidama;Sidamaisch;;Sidama;;;;;;;;;
sindi;Sindi;Sindi;Sindisch;;Sindhi;;;;;;;;;
sinhala;Sinhala;Cingalais;Sinhalesisch;;Sinhala;;;;;;;;;
slovak;Slovak;Slovaque;Slowakisch;;Eslovaca;;;;;;;;;
slovene;Slovene;Slovène;Slowenisch;;Eslovena;;;;;;;;;
somali;Somali;Somali;Somalisch;;Somalí;;;;;;;;;
songhai;Songhai;Songhaï;Songhaiisch;;Songay;;;;;;;;;
sotho;Sotho;Sotho;Sothoisch;;Sotho;;;;;;;;;
south_andean;South Andean;Sud-Andin;Südandisch;;Sudandina;;;;;;;;;
south_asian;South Asian;Sud-asiatique;Südasiatisch;;Sudasiática;;;;;;;;;
southeast_asian;Southeast Asian;Sud-est asiatique;Südostasiatisch;;Del sudeste asiático;;;;;;;;;
southern_african;Southern African;Sud-africain;Südafrikanisch;;Sudafricana;;;;;;;;;
south_german;South German;Allemand du sud;Süddeutsch;;Alemana del sur;;;;;;;;;
south_italian;South Italian;Italien du sud;Süditalienisch;;Italiana del sur;;;;;;;;;
south_slavic;South Slavic;Slave du sud;Südslawisch;;Eslava del sur;;;;;;;;;
spanish;Spanish;Espagnol;Spanisch;;Española;;;;;;;;;
sudanese;Sudanese;Soudanais;Sudanesisch;;Sudanesa;;;;;;;;;
sukuma;Sukuma;Sukuma;Sukumisch;;Sukuma;;;;;;;;;
swahili;Swahili;Swahili;Swahilisch;;Suajili;;;;;;;;;
swedish;Swedish;Suédois;Schwedisch;;Sueca;;;;;;;;;
swiss;Swiss;Suisse;Schweizerisch;;Suiza;;;;;;;;;
tajik;Tajik;Tadjik;Tadschikisch;;Tajika;;;;;;;;;
tamil;Tamil;Tamoul;Tamilisch;;Tamil;;;;;;;;;
tarascan;Tarascan;Tarasque;Tarascanisch;;Tarascana;;;;;;;;;
tatar;Tatar;Tatar;Tatarisch;;Tatar;;;;;;;;;
teda;Teda;Teda;Tedaisch;;Teda;;;;;;;;;
telegu;Telegu;Telegu;Teleguisch;;Telugu;;;;;;;;;
texan;Texan;Texan;Texanisch;;Texana;;;;;;;;;
thai;Thai;Thaï;Thailändisch;;Tailandesa;;;;;;;;;
tibetan;Tibetan;Tibétain;Tibetisch;;Tibetana;;;;;;;;;
tigray;Tigray;Tigré;Tigrayisch;;Tigré;;;;;;;;;
tiv;Tiv;Tiv;Tivisch;;Tiv;;;;;;;;;
tonga;Tonga;Tonga;Tongasisch;;Tonga;;;;;;;;;
tswana;Tswana;Tswana;Tswanaisch;;Tswana;;;;;;;;;
tuareg;Tuareg;Touareg;Tuaregisch;;Tuareg;;;;;;;;;
tupinamba;Tupinamba;Tupinamba;Tupinambaisch;;Tupinamba;;;;;;;;;
turkish;Turkish;Turc;Türkisch;;Turca;;;;;;;;;
turkmen;Turkmen;Turkmène;Turkmenisch;;Turkmena;;;;;;;;;
turko_semitic;Turko Semitic;Turco-sémite;Turkosemitisch;;Turco-semítica;;;;;;;;;
ugrian;Ugrian;Ougrien;Ugrisch;;Ugriana;;;;;;;;;
uighur;Uighur;Ouïgour;Uighurisch;;Uighura;;;;;;;;;
ukrainian;Ukrainian;Ukrainien;Ukrainisch;;Ucraniana;;;;;;;;;
unyamwezi;Unyamwezi;Unyamwezi;Unyamwezisch;;Unyamwezi;;;;;;;;;
uzbek;Uzbek;Ouzbek;Usbekisch;;Uzbeca;;;;;;;;;
vietnamese;Vietnamese;Vietnamien;Vietnamesisch;;Vietnamita;;;;;;;;;
wallonian;Wallonian;Wallon;Wallonisch;;Valona;;;;;;;;;
welsh;Welsh;;;;;;;;;;;;;
west_african;West African;Ouest-africain;Westafrikanisch;;Africana occidental;;;;;;;;;
western_slavic;Western Slavic Minor;;;;;;;;;;;;;
wolof;Wolof;Ouolof;Wolofisch;;Wolof;;;;;;;;;
xhosa;Xhosa;xhosa;xhosanisch;;xhosa;;;;;;;;;
yakut;Yakut;Yakoute;Jakutisch;;Yakuta;;;;;;;;;
yankee;Yankee;Yankee;Yankee-Amerikanisch;;Yanqui;;;;;;;;;
yao;Yao;Yao;Yaotisch;;Yao;;;;;;;;;
yi;Yi;Yi;Yinisch;;Yi;;;;;;;;;
yoruba;Yoruba;Yoruba;Yorubanisch;;Yoruba;;;;;;;;;
yue;Yue;Yue;Yuenisch;;Yue;;;;;;;;;
zapotec;Zapotec;Zapotec;Zapotekisch;;Zapoteca;;;;;;;;;
zhuang;Zhuang;Zhuang;Zhuangisch;;Zuang;;;;;;;;;
zulu;Zulu;Zoulou;Zulisch;;Zulú;;;;;;;;;
